,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,MapaUSV,DistHistorica
1,Acanthocereus chiapensis,222524,-93.188333,16.8105556,,True,2,-72.58,Equisetopsida,Caryophyllales,Cactaceae,877,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02039413a442757469c0a3aea3cd8812,02039413a442757469c0a3aea3cd8812,No,NoDisponible,NoDisponible,,Si,,
4,Acanthocereus chiapensis,230753,-92.231389,15.3747223,,True,0,-226.22,Equisetopsida,Caryophyllales,Cactaceae,1211,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08d4ba9bf8a50fe1b6800942321a343a,08d4ba9bf8a50fe1b6800942321a343a,No,NoDisponible,NoDisponible,,Si,,
2,Acanthocereus chiapensis,222524,-93.188055,16.8036111,,True,2,-72.58,Equisetopsida,Caryophyllales,Cactaceae,855,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2af3c1a8f2f3ab5b874da4970748fcef,2af3c1a8f2f3ab5b874da4970748fcef,No,NoDisponible,NoDisponible,,Si,,
6,Acanthocereus chiapensis,226653,-92.9375,16.9055556,,True,1,-139.59,Equisetopsida,Caryophyllales,Cactaceae,1304,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2dd3fdfa72d41533f3c66443cd4cf0c6,2dd3fdfa72d41533f3c66443cd4cf0c6,No,NoDisponible,NoDisponible,,Si,,
7,Acanthocereus chiapensis,218039,-93.8566666,16.3194444,,False,3,77.09,Equisetopsida,Caryophyllales,Cactaceae,625,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=888e11ffedc0c90f1cbad7be30e68d65,888e11ffedc0c90f1cbad7be30e68d65,No,NoDisponible,NoDisponible,,Si,,
0,Acanthocereus chiapensis,222524,-93.177222,16.7894444,,True,2,-72.58,Equisetopsida,Caryophyllales,Cactaceae,647,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=adb47259a2ff474affdf9309ca3a2325,adb47259a2ff474affdf9309ca3a2325,No,NoDisponible,NoDisponible,,Si,,
5,Acanthocereus chiapensis,226653,-92.933889,16.9066667,,True,1,-139.59,Equisetopsida,Caryophyllales,Cactaceae,1380,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2e3befd7b4dd35b02a357202dbb75c0,c2e3befd7b4dd35b02a357202dbb75c0,No,NoDisponible,NoDisponible,,Si,,
3,Acanthocereus chiapensis,222524,-93.1875,16.8030556,,True,2,-72.58,Equisetopsida,Caryophyllales,Cactaceae,868,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e3f6597d9a477fc5604da15d621ddced,e3f6597d9a477fc5604da15d621ddced,No,NoDisponible,NoDisponible,,Si,,
