,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,MapaUSV,DistHistorica
5,Coryphantha guerkeana,170650,-99.875,23.3083333,,False,2,32.84,Equisetopsida,Caryophyllales,Cactaceae,1582,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0998c90af88116c29a0e5f9cb9006008,0998c90af88116c29a0e5f9cb9006008,No,NoDisponible,NoDisponible,,Si,,
8,Coryphantha guerkeana,170627,-99.9583333,22.9416667,,False,2,32.61,Equisetopsida,Caryophyllales,Cactaceae,1264,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16739fcf8792e0012d6a082e606e45de,16739fcf8792e0012d6a082e606e45de,No,NoDisponible,NoDisponible,,Si,,
7,Coryphantha guerkeana,170663,-99.6416667,23.075,,False,3,42.03,Equisetopsida,Caryophyllales,Cactaceae,1502,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1feb55f541e494061e34394d5ce47399,1feb55f541e494061e34394d5ce47399,No,NoDisponible,NoDisponible,,Si,,
15,Coryphantha guerkeana,170610,-99.7083333,22.7583333,,False,1,19.65,Equisetopsida,Caryophyllales,Cactaceae,1060,Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d1d3585019f4bfb59006847da25d093,2d1d3585019f4bfb59006847da25d093,No,NoDisponible,NoDisponible,,Si,,
9,Coryphantha guerkeana,175509,-99.3916667,23.375,,False,2,28.53,Equisetopsida,Caryophyllales,Cactaceae,786,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=302641bdf6490d26c7d13e30d337ad26,302641bdf6490d26c7d13e30d337ad26,No,NoDisponible,NoDisponible,,Si,,
18,Coryphantha guerkeana,170692,-99.925,23.5583333,,False,2,30,Equisetopsida,Caryophyllales,Cactaceae,1402,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3190f8b7aceb8c1b7c03910453be43a3,3190f8b7aceb8c1b7c03910453be43a3,No,NoDisponible,NoDisponible,,Si,,
14,Coryphantha guerkeana,170610,-99.6916667,22.7583333,,False,1,19.65,Equisetopsida,Caryophyllales,Cactaceae,1034,Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4044576aee80279113c664a629c20958,4044576aee80279113c664a629c20958,No,NoDisponible,NoDisponible,,Si,,
26,Coryphantha guerkeana,170661,-99.7416667,23.125,,False,2,34.37,Equisetopsida,Caryophyllales,Cactaceae,1258,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=46ab2d6461d44e0e71282d612a93dc29,46ab2d6461d44e0e71282d612a93dc29,No,NoDisponible,NoDisponible,,Si,,
0,Coryphantha guerkeana,127851,-104.66972,24.02361,,False,0,8.15,Equisetopsida,Caryophyllales,Cactaceae,1892,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a29b13315cab686d9f0d8e61e073f02,5a29b13315cab686d9f0d8e61e073f02,No,NoDisponible,NoDisponible,,Si,,
22,Coryphantha guerkeana,170673,-99.6916667,23.2083333,,False,3,40.57,Equisetopsida,Caryophyllales,Cactaceae,1448,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ba4aeec049eaab36fc73d907fdb34dc,5ba4aeec049eaab36fc73d907fdb34dc,No,NoDisponible,NoDisponible,,Si,,
21,Coryphantha guerkeana,170658,-99.725,23.025,,False,2,27.47,Equisetopsida,Caryophyllales,Cactaceae,1211,Terrestre,1993,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=681770174c68ddbd1c586a8b6ace9cb2,681770174c68ddbd1c586a8b6ace9cb2,No,NoDisponible,NoDisponible,,Si,,
11,Coryphantha guerkeana,170728,-99.6083333,23.675,,False,2,28.74,Equisetopsida,Caryophyllales,Cactaceae,1708,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6b51f7bf78d76c7745ec540833e761a3,6b51f7bf78d76c7745ec540833e761a3,No,NoDisponible,NoDisponible,,Si,,
10,Coryphantha guerkeana,170639,-99.7583333,23.1083333,,False,1,22.42,Equisetopsida,Caryophyllales,Cactaceae,1225,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73e2713bb02eb7452ccd8fc782d9317d,73e2713bb02eb7452ccd8fc782d9317d,No,NoDisponible,NoDisponible,,Si,,
12,Coryphantha guerkeana,170677,-99.7416667,23.3916667,,False,2,32.29,Equisetopsida,Caryophyllales,Cactaceae,1487,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7a1b79ac1df0ced75b06186b0567f807,7a1b79ac1df0ced75b06186b0567f807,No,NoDisponible,NoDisponible,,Si,,
17,Coryphantha guerkeana,170588,-99.7916667,22.775,,False,1,18.98,Equisetopsida,Caryophyllales,Cactaceae,1014,Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7a8904195e36de08fcd004b8c026eba4,7a8904195e36de08fcd004b8c026eba4,No,NoDisponible,NoDisponible,,Si,,
25,Coryphantha guerkeana,170676,-99.675,23.325,,False,2,32.32,Equisetopsida,Caryophyllales,Cactaceae,1805,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7bc2d1ba7d19cc72b578d27fff69197d,7bc2d1ba7d19cc72b578d27fff69197d,No,NoDisponible,NoDisponible,,Si,,
4,Coryphantha guerkeana,170650,-99.875,23.3083333,,False,2,32.84,Equisetopsida,Caryophyllales,Cactaceae,1582,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=83c85a18a5d941ce9b1eccd7d1482288,83c85a18a5d941ce9b1eccd7d1482288,No,NoDisponible,NoDisponible,,Si,,
24,Coryphantha guerkeana,170700,-99.7916667,23.575,,False,1,25.79,Equisetopsida,Caryophyllales,Cactaceae,2207,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8604d302490d1833be70dc4249ce7623,8604d302490d1833be70dc4249ce7623,No,NoDisponible,NoDisponible,,Si,,
1,Coryphantha guerkeana,127851,-104.66972,24.02361,,False,0,8.15,Equisetopsida,Caryophyllales,Cactaceae,1892,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=88a72232ff7d7394f53f574584b49ae5,88a72232ff7d7394f53f574584b49ae5,No,NoDisponible,NoDisponible,,Si,,
16,Coryphantha guerkeana,170681,-99.575,23.225,,False,3,37.66,Equisetopsida,Caryophyllales,Cactaceae,1534,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98ab5f2aaaf5c9fbdaffe58316d660c1,98ab5f2aaaf5c9fbdaffe58316d660c1,No,NoDisponible,NoDisponible,,Si,,
19,Coryphantha guerkeana,175518,-99.2916667,23.4416667,,False,1,20.71,Equisetopsida,Caryophyllales,Cactaceae,606,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9f77f7c6343f7de3d83c1e8cf3ae0881,9f77f7c6343f7de3d83c1e8cf3ae0881,No,NoDisponible,NoDisponible,,Si,,
2,Coryphantha guerkeana,127851,-104.66972,24.02361,,False,0,8.15,Equisetopsida,Caryophyllales,Cactaceae,1892,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a46f990402e2b3665e1c2f0af1aca7a6,a46f990402e2b3665e1c2f0af1aca7a6,No,NoDisponible,NoDisponible,,Si,,
6,Coryphantha guerkeana,175555,-99.3416667,23.5083333,,False,0,14.77,Equisetopsida,Caryophyllales,Cactaceae,706,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cdd157ab0a37a9a0201cb3cfa55b585c,cdd157ab0a37a9a0201cb3cfa55b585c,No,NoDisponible,NoDisponible,,Si,,
20,Coryphantha guerkeana,170658,-99.725,23.025,,False,2,27.47,Equisetopsida,Caryophyllales,Cactaceae,1211,Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce6d0b3d38da8f11783855e71dba1797,ce6d0b3d38da8f11783855e71dba1797,No,NoDisponible,NoDisponible,,Si,,
13,Coryphantha guerkeana,170677,-99.725,23.3916667,,False,2,32.29,Equisetopsida,Caryophyllales,Cactaceae,1480,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dcaeefddf2e6e5f79faf85e40dfe9f33,dcaeefddf2e6e5f79faf85e40dfe9f33,No,NoDisponible,NoDisponible,,Si,,
