,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
2,Ursus americanus,175522,-99.14,23.0316667,,True,1,-98.93,Mammalia,Carnivora,Ursidae,345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e48f24f837c03bc1eb790a1995668c7,2e48f24f837c03bc1eb790a1995668c7,Si,NoDisponible,No,No,Si,,,,
17,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e511ce84c40a86391b82890d70a4829,2e511ce84c40a86391b82890d70a4829,No,NoDisponible,,,,,,,
73,Ursus americanus,161190,-100.8874899,25.2803899,,False,4,34.84,Mammalia,Carnivora,Ursidae,2519,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e8db186f9a38f5320553548cb0d89bb,2e8db186f9a38f5320553548cb0d89bb,No,NoDisponible,,,,,,,
127,Ursus americanus,170817,-99.9816102,24.5390499,,False,4,35.66,Mammalia,Carnivora,Ursidae,2717,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fe3d66c3f19b92435a9be769d95c00b,2fe3d66c3f19b92435a9be769d95c00b,Si,NoDisponible,No,Si,Si,,,,
97,Ursus americanus,171013,-100.0025366,26.219673,,False,3,16.42,Mammalia,Carnivora,Ursidae,1041,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=321e06514e7985661b7f6280da386d0c,321e06514e7985661b7f6280da386d0c,No,NoDisponible,,,,,,,
156,Ursus americanus,137107,-103.9825,23.7297222,,False,3,6.76,Mammalia,Carnivora,Ursidae,1926,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=32bca6ab2a781aa4553a887aeb2bf276,32bca6ab2a781aa4553a887aeb2bf276,No,NoDisponible,,,,,,,
18,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3752a6d043018e8360dcafbabfdecb51,3752a6d043018e8360dcafbabfdecb51,No,NoDisponible,,,,,,,
19,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38faa698a405c48832413b6136c868c6,38faa698a405c48832413b6136c868c6,No,NoDisponible,,,,,,,
103,Ursus americanus,166070,-100.2725169,25.5390724,,False,4,40.18,Mammalia,Carnivora,Ursidae,795,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3916edf90c8526bd3ad4e6eaf7a01947,3916edf90c8526bd3ad4e6eaf7a01947,No,NoDisponible,,,,,,,
20,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b939d15766e86626f3d510e5ae85925,3b939d15766e86626f3d510e5ae85925,No,NoDisponible,,,,,,,
