,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
29,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=87f73224e23000203c9d9aadebdb7bcd,87f73224e23000203c9d9aadebdb7bcd,No,NoDisponible,,,,,,,
8,Ursus americanus,101398,-108.6072056,30.5626056,,False,4,30.65,Mammalia,Carnivora,Ursidae,2383,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ac689f56f5c873d14b2dbbf95d46114,8ac689f56f5c873d14b2dbbf95d46114,No,NoDisponible,,,,,,,
80,Ursus americanus,161179,-100.91091,25.3488399,,False,4,35.46,Mammalia,Carnivora,Ursidae,2854,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c1170b889325a4131e7e0fb4460f75b,8c1170b889325a4131e7e0fb4460f75b,No,NoDisponible,,,,,,,
82,Ursus americanus,161179,-100.9552777,25.3372219,,False,4,35.46,Mammalia,Carnivora,Ursidae,2388,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8cbf93fb8524c3acdc0010319cca942c,8cbf93fb8524c3acdc0010319cca942c,No,NoDisponible,,,,,,,
125,Ursus americanus,161166,-100.9805066,25.2699299,,False,4,31.38,Mammalia,Carnivora,Ursidae,2182,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8d034853a2b001391d1b3337f3c53c29,8d034853a2b001391d1b3337f3c53c29,No,NoDisponible,,,,,,,
30,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=90f3de01798e6bcfc274ce2d302c7b4d,90f3de01798e6bcfc274ce2d302c7b4d,No,NoDisponible,,,,,,,
98,Ursus americanus,156531,-101.353995,26.3560158,,False,3,16.92,Mammalia,Carnivora,Ursidae,1140,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=91f64982653dc001a938a39c5e877eee,91f64982653dc001a938a39c5e877eee,No,NoDisponible,,,,,,,
131,Ursus americanus,156686,-101.5692369,27.8327158,,False,3,19.1,Mammalia,Carnivora,Ursidae,666,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=92b6217f7cf75bf8a256431b5775d312,92b6217f7cf75bf8a256431b5775d312,No,NoDisponible,,,,,,,
72,Ursus americanus,161190,-100.8482694,25.2456274,,False,4,34.84,Mammalia,Carnivora,Ursidae,2227,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=945dfbf6b0f514b451f43862de1e6eab,945dfbf6b0f514b451f43862de1e6eab,No,NoDisponible,,,,,,,
138,Ursus americanus,142041,-103.33083,25.35972,,False,3,-0.23,Mammalia,Carnivora,Ursidae,1169,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=947cc37dce77edff3f8a80139d3abfc2,947cc37dce77edff3f8a80139d3abfc2,Si,NoDisponible,No,No,Si,,,,
4,Ursus americanus,175522,-99.14,23.0316667,,True,1,-98.93,Mammalia,Carnivora,Ursidae,345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=95436998ce1907320402032f87aa184f,95436998ce1907320402032f87aa184f,Si,NoDisponible,No,No,Si,,,,
