,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
47,Eptesicus furinalis,222403,-93.5905179,15.9419444,,False,3,23.04,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5db562606d149804d928a205aa89faba,5db562606d149804d928a205aa89faba,No,NoDisponible,,,,,
107,Eptesicus furinalis,226672,-92.6156944,16.7061749,,False,2,-3.29,Mammalia,Chiroptera,Vespertilionidae,2138,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fc680a0ccd21b9252a49d58ca02c4d7,5fc680a0ccd21b9252a49d58ca02c4d7,Si,NoDisponible,No,Si,Si,,
40,Eptesicus furinalis,252446,-89.475,20.2583333,,False,3,10.06,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61d06c9aa1288d172cc18e485f443bd5,61d06c9aa1288d172cc18e485f443bd5,No,NoDisponible,,,,,
8,Eptesicus furinalis,222402,-93.674051,16.017598,,False,3,17.07,Mammalia,Chiroptera,Vespertilionidae,71,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=632997692ade2c9ea780d740fc1d55be,632997692ade2c9ea780d740fc1d55be,No,NoDisponible,,,,,
58,Eptesicus furinalis,175341,-99.0161111,21.4888889,,False,3,20.31,Mammalia,Chiroptera,Vespertilionidae,943,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66952d50e294554c4bf9ababfc83e62b,66952d50e294554c4bf9ababfc83e62b,No,NoDisponible,,,,,
83,Eptesicus furinalis,248304,-89.6913889,21.0672222,,False,3,11.88,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66d65c6fc4922ece9dcd50dcccd918fd,66d65c6fc4922ece9dcd50dcccd918fd,No,NoDisponible,,,,,
84,Eptesicus furinalis,248304,-89.6913889,21.0672222,,False,3,11.88,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a7548ffc6056c3a3dce1c82ec1b8468,6a7548ffc6056c3a3dce1c82ec1b8468,No,NoDisponible,,,,,
119,Eptesicus furinalis,204406,-95.6563889,18.6130556,,False,3,17.02,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6bdeed66f9d0a4f1468e5b9fe384e1e8,6bdeed66f9d0a4f1468e5b9fe384e1e8,Si,NoDisponible,No,Si,Si,,
129,Eptesicus furinalis,175019,-98.95694,18.67528,,False,2,1.38,Mammalia,Chiroptera,Vespertilionidae,1124,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d1229148507ac87db956566746f641a,6d1229148507ac87db956566746f641a,No,NoDisponible,,,,,
53,Eptesicus furinalis,256895,-88.5886111,20.6980556,,False,3,13.49,Mammalia,Chiroptera,Vespertilionidae,53,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d3a9c0a1d8663080bbf602007f5a731,6d3a9c0a1d8663080bbf602007f5a731,No,NoDisponible,,,,,
75,Eptesicus furinalis,252256,-89.42,18.59,,False,3,9.61,Mammalia,Chiroptera,Vespertilionidae,263,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6e382698fc9ad4d1e3b52ee51f9c50ea,6e382698fc9ad4d1e3b52ee51f9c50ea,No,NoDisponible,,,,,
76,Eptesicus furinalis,252256,-89.42,18.59,,False,3,9.61,Mammalia,Chiroptera,Vespertilionidae,263,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6e5dfac0980becbbb1bf97bfeec93739,6e5dfac0980becbbb1bf97bfeec93739,No,NoDisponible,,,,,
41,Eptesicus furinalis,252446,-89.475,20.2583333,,False,3,10.06,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6fcf7bd79ee00ddd4209b0703a6ae6b3,6fcf7bd79ee00ddd4209b0703a6ae6b3,No,NoDisponible,,,,,
91,Eptesicus furinalis,252549,-89.6519444,20.9483333,,False,3,14.73,Mammalia,Chiroptera,Vespertilionidae,15,Terrestre,1996,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=701748452899faa1a58642e35bdb179b,701748452899faa1a58642e35bdb179b,No,NoDisponible,,,,,
59,Eptesicus furinalis,226866,-92.7849498,18.488,,False,3,16.46,Mammalia,Chiroptera,Vespertilionidae,5,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=71adf18bb2527b54de6282848ef20155,71adf18bb2527b54de6282848ef20155,No,NoDisponible,,,,,
42,Eptesicus furinalis,252446,-89.475,20.2583333,,False,3,10.06,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=724743f5de80cc05c0af487419a2ec36,724743f5de80cc05c0af487419a2ec36,No,NoDisponible,,,,,
60,Eptesicus furinalis,226866,-92.7849498,18.488,,False,3,16.46,Mammalia,Chiroptera,Vespertilionidae,5,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=728c43231fc15720140a5ec9032113c1,728c43231fc15720140a5ec9032113c1,No,NoDisponible,,,,,
5,Eptesicus furinalis,222405,-93.69504,16.032904,,False,3,24.56,Mammalia,Chiroptera,Vespertilionidae,47,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72ceca99224c6a6cebc7182050ac4d66,72ceca99224c6a6cebc7182050ac4d66,No,NoDisponible,,,,,
24,Eptesicus furinalis,230976,-92.0255556,17.4913889,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7457281cddb014afc5450bfc7e74b36c,7457281cddb014afc5450bfc7e74b36c,No,NoDisponible,,,,,
126,Eptesicus furinalis,248241,-89.9116667,20.5675,,False,3,12.24,Mammalia,Chiroptera,Vespertilionidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=752b60f2ee6d005b1517a9ed7930e1fd,752b60f2ee6d005b1517a9ed7930e1fd,No,NoDisponible,,,,,
148,Eptesicus furinalis,222575,-93.1527778,17.17,,False,3,14.32,Mammalia,Chiroptera,Vespertilionidae,1795,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=78b43ba8aacac0a3c6dd7d356c0672c7,78b43ba8aacac0a3c6dd7d356c0672c7,No,NoDisponible,,,,,
98,Eptesicus furinalis,252504,-89.5902778,20.7883333,,False,3,10.08,Mammalia,Chiroptera,Vespertilionidae,20,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=792167e23c770db821efe9b41b8fe441,792167e23c770db821efe9b41b8fe441,No,NoDisponible,,,,,
