,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
11,Felis silvestris,165484,-100.0987527,20.3919988,,True,3,-4.71,Mammalia,Carnivora,Felidae,1947,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a2aad2b8a2705c52f75b643ef0f39390,a2aad2b8a2705c52f75b643ef0f39390,No,NoDisponible,NoDisponible,,,,
22,Felis silvestris,166109,-100.4016705,25.9428933,,True,0,-17.31,Mammalia,Carnivora,Felidae,496,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a2cf2875481263348bc17f41783d0e4a,a2cf2875481263348bc17f41783d0e4a,No,NoDisponible,NoDisponible,,,,
3,Felis silvestris,137232,-103.8363465,24.73722,,True,2,-8.8,Mammalia,Carnivora,Felidae,1889,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a5b6a5b254ed1422acdfd2075787ef0e,a5b6a5b254ed1422acdfd2075787ef0e,No,NoDisponible,NoDisponible,,,,
7,Felis silvestris,226642,-93.0953308,16.7959272,,True,1,-13.72,Mammalia,Carnivora,Felidae,771,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=abfc42b76f7120f9902fc2cad9a28c6e,abfc42b76f7120f9902fc2cad9a28c6e,No,NoDisponible,NoDisponible,,,,
20,Felis silvestris,119115,-106.1375416,28.6526027,,True,1,-13.59,Mammalia,Carnivora,Felidae,1579,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0e9bd60f824f95920d3d20e13dd34c8,b0e9bd60f824f95920d3d20e13dd34c8,No,NoDisponible,NoDisponible,,,,
17,Felis silvestris,113904,-106.425588,23.1813599,,True,2,-5.48,Mammalia,Carnivora,Felidae,9,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b1cb4decc2be7996f8c5f3ce26571041,b1cb4decc2be7996f8c5f3ce26571041,No,NoDisponible,NoDisponible,,,,
16,Felis silvestris,213663,-94.5779074,17.9984044,,True,1,-13.16,Mammalia,Carnivora,Felidae,35,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b37704132440522982f9504a1b3f5b4d,b37704132440522982f9504a1b3f5b4d,No,NoDisponible,NoDisponible,,,,
23,Felis silvestris,170219,-99.4660088,19.1839008,,True,3,-2.75,Mammalia,Carnivora,Felidae,2632,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c295faeaa7f4edadd258ec9d2cd7f897,c295faeaa7f4edadd258ec9d2cd7f897,No,NoDisponible,NoDisponible,,,,
10,Felis silvestris,165484,-100.0968649,20.3916777,,True,3,-4.71,Mammalia,Carnivora,Felidae,1950,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce6e172d7a14ffb42322b78f4486e989,ce6e172d7a14ffb42322b78f4486e989,No,NoDisponible,NoDisponible,,,,
19,Felis silvestris,199357,-96.1350799,15.7692361,,True,2,-6.72,Mammalia,Carnivora,Felidae,35,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce900f5bc8fecce32c9ac870cba31f2b,ce900f5bc8fecce32c9ac870cba31f2b,No,NoDisponible,NoDisponible,,,,
26,Felis silvestris,170266,-99.8301458,20.1214258,,True,3,-1.53,Mammalia,Carnivora,Felidae,2407,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d1de177de257e2280813c126bf13b704,d1de177de257e2280813c126bf13b704,No,NoDisponible,NoDisponible,,,,
18,Felis silvestris,113904,-106.4269174,23.1777263,,True,2,-5.48,Mammalia,Carnivora,Felidae,72,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d5a7b223876702c5eb27d1f900c8738e,d5a7b223876702c5eb27d1f900c8738e,No,NoDisponible,NoDisponible,,,,
8,Felis silvestris,226642,-93.0952049,16.8285958,,True,1,-13.72,Mammalia,Carnivora,Felidae,1255,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ddfdb2dce7ee87604d1503146977e8eb,ddfdb2dce7ee87604d1503146977e8eb,No,NoDisponible,NoDisponible,,,,
0,Felis silvestris,82477,-110.4672222,24.1375,,True,1,-12.15,Mammalia,Carnivora,Felidae,35,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e38dbbab53781b463ded6c7f75138457,e38dbbab53781b463ded6c7f75138457,No,NoDisponible,NoDisponible,,,,
27,Felis silvestris,175077,-99.1172549,19.3303658,,True,3,-0.64,Mammalia,Carnivora,Felidae,2229,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e7f3e2cb805f0ce055256d26e8a90171,e7f3e2cb805f0ce055256d26e8a90171,No,NoDisponible,NoDisponible,,,,
9,Felis silvestris,170760,-99.9114488,24.2378211,,True,1,-14.52,Mammalia,Carnivora,Felidae,2113,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ea74b8b20684447f79926e0563b69f99,ea74b8b20684447f79926e0563b69f99,No,NoDisponible,NoDisponible,,,,
21,Felis silvestris,170171,-99.4993677,18.9534419,,True,2,-6.8,Mammalia,Carnivora,Felidae,1796,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f5b4adc8b0f28dd526e075c070fb0561,f5b4adc8b0f28dd526e075c070fb0561,No,NoDisponible,NoDisponible,,,,
