,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,DistHistorica
273,Nasua narica,194671,-96.628222,17.170782,,False,5,5.86,Mammalia,Carnivora,Procyonidae,2924,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e71decb19809737aa6826b12d35de44,0e71decb19809737aa6826b12d35de44,No,NoDIsponible,,,,,,
1224,Nasua narica,109803,-106.9630556,26.0913889,,False,4,-6.38,Mammalia,Carnivora,Procyonidae,2312,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e8d1c75f2e4d415e932e0924460f59b,0e8d1c75f2e4d415e932e0924460f59b,No,NoDIsponible,,,,,,
547,Nasua narica,122958,-105.5727766,22.6241519,,False,5,13.15,Mammalia,Carnivora,Procyonidae,116,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eb1402044c6b69702747f86e55ba1cf,0eb1402044c6b69702747f86e55ba1cf,No,NoDIsponible,,,,,,
344,Nasua narica,131864,-104.5133666,19.1324499,,False,5,10.89,Mammalia,Carnivora,Procyonidae,8,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eead05328744f8ba0901343803df372,0eead05328744f8ba0901343803df372,Si,NoDIsponible,No,Si,Si,,,
705,Nasua narica,269554,-87.0300005,20.6649108,,False,5,16.14,Mammalia,Carnivora,Procyonidae,,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eedf675c1f277e79de913af55c5d7b0,0eedf675c1f277e79de913af55c5d7b0,Si,NoDIsponible,No,Si,Si,No,BufferCosteroMarinoContinental,
1000,Nasua narica,269512,-87.258955,20.477253,,False,5,18.47,Mammalia,Carnivora,Procyonidae,19,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f0d1b4f701eb73f4c10c907d88ca279,0f0d1b4f701eb73f4c10c907d88ca279,Si,NoDIsponible,No,Si,Si,,,
687,Nasua narica,113957,-106.6324999,23.6433888,,False,5,7.41,Mammalia,Carnivora,Procyonidae,286,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f1e6767aa2aa9d3164f2a0bc83abb97,0f1e6767aa2aa9d3164f2a0bc83abb97,No,NoDIsponible,,,,,,
1333,Nasua narica,230706,-92.2286111,15.1575,,False,5,18.69,Mammalia,Carnivora,Procyonidae,1733,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5573381a31acbdcc85b8b2d9ddea94,0f5573381a31acbdcc85b8b2d9ddea94,No,NoDIsponible,,,,,,
1094,Nasua narica,194854,-96.8416667,18.8783333,,False,5,16.17,Mammalia,Carnivora,Procyonidae,606,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5add34278d9c9c4e14e7db043be562,0f5add34278d9c9c4e14e7db043be562,No,NoDIsponible,,,,,,
1079,Nasua narica,170886,-100.02,25.2833333,,False,4,3.36,Mammalia,Carnivora,Procyonidae,450,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5be226fc7fdaae01e6a8b402ef6d5b,0f5be226fc7fdaae01e6a8b402ef6d5b,No,NoDIsponible,,,,,,
250,Nasua narica,175028,-99.1005149,19.0006138,,False,4,3.59,Mammalia,Carnivora,Procyonidae,1956,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fa1f42910917931a314468aebc61a26,0fa1f42910917931a314468aebc61a26,No,NoDIsponible,,,,,,
908,Nasua narica,213737,-94.400383,18.15055,,False,5,14.19,Mammalia,Carnivora,Procyonidae,21,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fab029c0d4f31e6304d4458b2a7b4d8,0fab029c0d4f31e6304d4458b2a7b4d8,No,NoDIsponible,,,,,,
849,Nasua narica,127257,-105.0443488,19.4989549,,False,5,12.92,Mammalia,Carnivora,Procyonidae,101,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fb33b4ffd093fd401c92990fe1319dd,0fb33b4ffd093fd401c92990fe1319dd,No,NoDIsponible,,,,,,
295,Nasua narica,155916,-101.48,21.43,,False,4,-11.64,Mammalia,Carnivora,Procyonidae,2323,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fd71b5b80b1c673a4daf07ba66f17e3,0fd71b5b80b1c673a4daf07ba66f17e3,Si,NoDIsponible,No,No,No,,,
1070,Nasua narica,166067,-100.1866667,25.3458333,,False,4,-1.17,Mammalia,Carnivora,Procyonidae,1264,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1019cb8196aa217603f784cb448d7520,1019cb8196aa217603f784cb448d7520,No,NoDIsponible,,,,,,
719,Nasua narica,118455,-105.9549808,23.3357541,,False,5,12.83,Mammalia,Carnivora,Procyonidae,251,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1049afe5e5ef1f64e5da91952599f5e0,1049afe5e5ef1f64e5da91952599f5e0,No,NoDIsponible,,,,,,
