,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,DistHistorica
65,Nasua narica,239293,-90.9645833,16.8982222,,False,5,16.88,Mammalia,Carnivora,Procyonidae,143,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d35d2142a52a5ab107f24e530e68690,0d35d2142a52a5ab107f24e530e68690,Si,NoDIsponible,No,Si,Si,,,
1290,Nasua narica,194888,-97.0580556,19.4213889,,False,5,9.64,Mammalia,Carnivora,Procyonidae,1722,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d58ee0f1967c9441d8c9b7ed355dc29,0d58ee0f1967c9441d8c9b7ed355dc29,No,NoDIsponible,,,,,,
995,Nasua narica,105172,-107.9823766,25.4126411,,False,4,2.68,Mammalia,Carnivora,Procyonidae,213,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d6b61086609d89f34ebd154ca62a095,0d6b61086609d89f34ebd154ca62a095,No,NoDIsponible,,,,,,
943,Nasua narica,269559,-87.0174263,20.6950122,,False,5,16.14,Mammalia,Carnivora,Procyonidae,11,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d6fc58bdbf92ab12a0de7b8aec389c8,0d6fc58bdbf92ab12a0de7b8aec389c8,Si,NoDIsponible,No,Si,Si,,,
12,Nasua narica,261063,-88.464326,19.352797,,False,5,16.6,Mammalia,Carnivora,Procyonidae,19,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d9a61076ab42cb8582407fcb2172517,0d9a61076ab42cb8582407fcb2172517,No,NoDIsponible,,,,,,
1141,Nasua narica,243460,-90.6996667,16.5798889,,False,5,17.73,Mammalia,Carnivora,Procyonidae,119,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dd68cb3625506181ac962d1a4d50759,0dd68cb3625506181ac962d1a4d50759,No,NoDIsponible,,,,,,
842,Nasua narica,199357,-96.1383958,15.7613769,,False,5,12.98,Mammalia,Carnivora,Procyonidae,26,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ddc9eb2b195e022c3d5fcbe09c80bcf,0ddc9eb2b195e022c3d5fcbe09c80bcf,No,NoDIsponible,,,,,,
478,Nasua narica,269597,-87.21096,21.2101799,,False,5,14.25,Mammalia,Carnivora,Procyonidae,24,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0de222bd668d3352632febd0d136b6ef,0de222bd668d3352632febd0d136b6ef,No,NoDIsponible,,,,,,
1277,Nasua narica,179863,-98.7552778,18.5022222,,False,4,2.53,Mammalia,Carnivora,Procyonidae,1038,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e3e005137b5f03d9073c3e1bd313469,0e3e005137b5f03d9073c3e1bd313469,No,NoDIsponible,,,,,,
942,Nasua narica,269559,-87.0267127,20.6978638,,False,5,16.14,Mammalia,Carnivora,Procyonidae,7,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e4691f684089147f088f7c35fdb3cd7,0e4691f684089147f088f7c35fdb3cd7,No,NoDIsponible,,,,,,
