,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
354,Eptesicus fuscus,132426,-104.45765,23.5335333,,False,1,10.46,Mammalia,Chiroptera,Vespertilionidae,1720,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b83ff19b72261201a56ec60ef09666c4,b83ff19b72261201a56ec60ef09666c4,No,NoDisponible,,,,,
181,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9bebf89cc908d098ac66fbd63678dbc,b9bebf89cc908d098ac66fbd63678dbc,No,NoDisponible,,,,,
3,Eptesicus fuscus,226681,-92.6361111,16.7366667,,False,1,17.05,Mammalia,Chiroptera,Vespertilionidae,2143,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ba1e1646a3a3037a757d77c93ce67dc5,ba1e1646a3a3037a757d77c93ce67dc5,No,NoDisponible,,,,,
291,Eptesicus fuscus,123130,-105.3347182,23.8194807,,False,1,11.48,Mammalia,Chiroptera,Vespertilionidae,2512,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb3bc8e6c653fc8e8f7a34644f4b073a,bb3bc8e6c653fc8e8f7a34644f4b073a,No,NoDisponible,,,,,
580,Eptesicus fuscus,194775,-97.0494444,18.5027778,,False,1,18.76,Mammalia,Chiroptera,Vespertilionidae,2067,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb721f32a4f36e273ddd50496ca12807,bb721f32a4f36e273ddd50496ca12807,No,NoDisponible,,,,,
138,Eptesicus fuscus,46744,-115.4694444,31.0638889,,False,2,29.52,Mammalia,Chiroptera,Vespertilionidae,2483,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb9429577648c59db0142c55a30ccca6,bb9429577648c59db0142c55a30ccca6,No,NoDisponible,,,,,
495,Eptesicus fuscus,142041,-103.33083,25.35972,,False,0,-2.75,Mammalia,Chiroptera,Vespertilionidae,1169,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bbe526fb51d79a316fd87a39b4366a33,bbe526fb51d79a316fd87a39b4366a33,No,NoDisponible,,,,,
122,Eptesicus fuscus,46613,-115.5161111,30.0205556,,False,0,5.25,Mammalia,Chiroptera,Vespertilionidae,319,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bdd11cbbe4da601a70451e49bd444559,bdd11cbbe4da601a70451e49bd444559,No,NoDisponible,,,,,
182,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be373ec461e69449d8e359cb0838ac3c,be373ec461e69449d8e359cb0838ac3c,No,NoDisponible,,,,,
533,Eptesicus fuscus,180111,-98.6547222,20.4280556,,False,1,15.65,Mammalia,Chiroptera,Vespertilionidae,1397,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be3a6948370a178e9aa1175b6b946d8a,be3a6948370a178e9aa1175b6b946d8a,No,NoDisponible,,,,,
360,Eptesicus fuscus,132454,-104.2975,23.6795,,False,0,7.2,Mammalia,Chiroptera,Vespertilionidae,1529,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be4d78a691902b0e1c68457f6300969f,be4d78a691902b0e1c68457f6300969f,No,NoDisponible,,,,,
516,Eptesicus fuscus,175564,-99.2236111,23.5888889,,False,1,9.06,Mammalia,Chiroptera,Vespertilionidae,862,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be6ab902b119f3377175fa4de3fbc0ad,be6ab902b119f3377175fa4de3fbc0ad,No,NoDisponible,,,,,
123,Eptesicus fuscus,46613,-115.5161111,30.0205556,,False,0,5.25,Mammalia,Chiroptera,Vespertilionidae,319,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be8db652c50c12452f89324fb2a48c55,be8db652c50c12452f89324fb2a48c55,No,NoDisponible,,,,,
228,Eptesicus fuscus,147255,-102.5424239,29.06028,,False,0,7,Mammalia,Chiroptera,Vespertilionidae,1360,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bec418255a86892dd9602944886773d3,bec418255a86892dd9602944886773d3,No,NoDisponible,,,,,
183,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=beedb9bad9b0992cc6008472f12fd2a6,beedb9bad9b0992cc6008472f12fd2a6,No,NoDisponible,,,,,
124,Eptesicus fuscus,46613,-115.5161111,30.0205556,,False,0,5.25,Mammalia,Chiroptera,Vespertilionidae,319,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf0f33d889dfdbf8f1edbeb6d09df60a,bf0f33d889dfdbf8f1edbeb6d09df60a,No,NoDisponible,,,,,
361,Eptesicus fuscus,132454,-104.2975,23.6795,,False,0,7.2,Mammalia,Chiroptera,Vespertilionidae,1529,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf1b79a3cd5c6e5ef3a3be21507cf685,bf1b79a3cd5c6e5ef3a3be21507cf685,No,NoDisponible,,,,,
234,Eptesicus fuscus,147255,-102.5421972,29.0602777,,False,0,7,Mammalia,Chiroptera,Vespertilionidae,1362,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c087c62d56c0150b3424640b30a74c26,c087c62d56c0150b3424640b30a74c26,No,NoDisponible,,,,,
303,Eptesicus fuscus,235062,-91.7,16.4,,False,0,3.87,Mammalia,Chiroptera,Vespertilionidae,1280,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c0ec40129c4dadbe2d4a2d50a4ea0259,c0ec40129c4dadbe2d4a2d50a4ea0259,No,NoDisponible,,,,,
69,Eptesicus fuscus,42271,-115.8647222,32.0191667,,False,1,11.79,Mammalia,Chiroptera,Vespertilionidae,1636,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c13252628bf1a8286c7542d3bb3bc92b,c13252628bf1a8286c7542d3bb3bc92b,No,NoDisponible,,,,,
560,Eptesicus fuscus,151800,-101.9483333,27.0597222,,False,0,3.32,Mammalia,Chiroptera,Vespertilionidae,1591,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c186b13f0bb8f2216ea089be523b1647,c186b13f0bb8f2216ea089be523b1647,No,NoDisponible,,,,,
267,Eptesicus fuscus,136616,-103.6986111,19.4194444,,False,1,11.25,Mammalia,Chiroptera,Vespertilionidae,1384,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1dd402a4b600ee665823498805f517a,c1dd402a4b600ee665823498805f517a,No,NoDisponible,,,,,
365,Eptesicus fuscus,60356,-113.7518311,28.73917,,False,0,3.11,Mammalia,Chiroptera,Vespertilionidae,435,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c230a1642e621889ce59ceec915455da,c230a1642e621889ce59ceec915455da,No,NoDisponible,,,,,
88,Eptesicus fuscus,46710,-115.2277778,30.575,,False,0,7.77,Mammalia,Chiroptera,Vespertilionidae,1755,Terrestre,1902,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2a2e134fa2b00fb6a889ccf44136081,c2a2e134fa2b00fb6a889ccf44136081,No,NoDisponible,,,,,
500,Eptesicus fuscus,189810,-97.3928,18.4619,,False,1,13.15,Mammalia,Chiroptera,Vespertilionidae,1645,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c33100b721b7a21d1cb4f8ed9770a49d,c33100b721b7a21d1cb4f8ed9770a49d,No,NoDisponible,,,,,
298,Eptesicus fuscus,96689,-108.8965076,28.3744055,,False,0,4.38,Mammalia,Chiroptera,Vespertilionidae,1550,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c3eabf36094dbfde7f5bd1e6bea793d5,c3eabf36094dbfde7f5bd1e6bea793d5,No,NoDisponible,,,,,
184,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c4144ce61a1cde250b2d97c4c7cc15be,c4144ce61a1cde250b2d97c4c7cc15be,No,NoDisponible,,,,,
419,Eptesicus fuscus,87699,-110.3112777,29.4391666,,False,0,-2.12,Mammalia,Chiroptera,Vespertilionidae,404,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c4260231cc62d0595bf928c75dabee0f,c4260231cc62d0595bf928c75dabee0f,No,NoDisponible,,,,,
496,Eptesicus fuscus,142041,-103.33083,25.35972,,False,0,-2.75,Mammalia,Chiroptera,Vespertilionidae,1169,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c47f1c88a0a2d0371ff6aa51caa98ce3,c47f1c88a0a2d0371ff6aa51caa98ce3,No,NoDisponible,,,,,
410,Eptesicus fuscus,46717,-115.0833361,30.5500027,,False,0,2.19,Mammalia,Chiroptera,Vespertilionidae,761,Terrestre,1902,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c48a4e7aff00179442b67ebdf5e6391c,c48a4e7aff00179442b67ebdf5e6391c,Si,NoDisponible,No,Si,Si,,
185,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c48b14c68886426ba69ece8a2156c05e,c48b14c68886426ba69ece8a2156c05e,No,NoDisponible,,,,,
305,Eptesicus fuscus,64741,-112.933333,28.3,,False,0,1.17,Mammalia,Chiroptera,Vespertilionidae,179,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c4a40b0b3604d7d382c48ce344071876,c4a40b0b3604d7d382c48ce344071876,No,NoDisponible,,,,,
436,Eptesicus fuscus,151773,-102.1344444,26.9841667,,False,0,2.55,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c56eb57f2f188d9ae551e9d646647d38,c56eb57f2f188d9ae551e9d646647d38,No,NoDisponible,,,,,
480,Eptesicus fuscus,123064,-105.3666667,23.45,,False,1,17.83,Mammalia,Chiroptera,Vespertilionidae,2749,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c5bd194c36bb4b04b94fe5e7d3e00ded,c5bd194c36bb4b04b94fe5e7d3e00ded,No,NoDisponible,,,,,
398,Eptesicus fuscus,37959,-116.5941467,31.7725736,,False,0,6.13,Mammalia,Chiroptera,Vespertilionidae,12,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c73e54c9b7747c4a101564981c531593,c73e54c9b7747c4a101564981c531593,No,NoDisponible,,,,,
513,Eptesicus fuscus,123045,-105.4675,23.0711111,,False,1,11.9,Mammalia,Chiroptera,Vespertilionidae,880,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c8b17ebd094ae2eb217f1e89781b61d8,c8b17ebd094ae2eb217f1e89781b61d8,No,NoDisponible,,,,,
70,Eptesicus fuscus,42271,-115.8647222,32.0191667,,False,1,11.79,Mammalia,Chiroptera,Vespertilionidae,1636,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c9b76928461fc16ef3762fa3d006372c,c9b76928461fc16ef3762fa3d006372c,No,NoDisponible,,,,,
318,Eptesicus fuscus,109760,-106.9678056,26.066667,,False,1,12.25,Mammalia,Chiroptera,Vespertilionidae,2586,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c9badd4b1151ea4cf721beb15fa8a770,c9badd4b1151ea4cf721beb15fa8a770,No,NoDisponible,,,,,
437,Eptesicus fuscus,151773,-102.1344444,26.9841667,,False,0,2.55,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cb04e2e5d5f185b3e3409465e89d7f3d,cb04e2e5d5f185b3e3409465e89d7f3d,No,NoDisponible,,,,,
544,Eptesicus fuscus,101362,-108.3333333,29.9666667,,False,1,10.29,Mammalia,Chiroptera,Vespertilionidae,2202,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cb4caddefedd0e82ca82333c7a50a463,cb4caddefedd0e82ca82333c7a50a463,No,NoDisponible,,,,,
316,Eptesicus fuscus,118863,-106.1,26.733333,,False,0,7.91,Mammalia,Chiroptera,Vespertilionidae,2159,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cc322577f034e3e7dfd1af667d8dba16,cc322577f034e3e7dfd1af667d8dba16,No,NoDisponible,,,,,
186,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cc73f06d22d9f4ba2cb163101e793861,cc73f06d22d9f4ba2cb163101e793861,No,NoDisponible,,,,,
261,Eptesicus fuscus,136583,-103.9341666,19.3152777,,False,1,12.89,Mammalia,Chiroptera,Vespertilionidae,537,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ccbb7141d4c1d9f3ff6d028d2968ea24,ccbb7141d4c1d9f3ff6d028d2968ea24,No,NoDisponible,,,,,
586,Eptesicus fuscus,189993,-97.2438889,19.7630556,,False,1,14.8,Mammalia,Chiroptera,Vespertilionidae,1905,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cd1749ca3d0a5a4940b2f95a3e39b090,cd1749ca3d0a5a4940b2f95a3e39b090,No,NoDisponible,,,,,
71,Eptesicus fuscus,42271,-115.8647222,32.0191667,,False,1,11.79,Mammalia,Chiroptera,Vespertilionidae,1636,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cdbf88594d88b9127358a23b369a7189,cdbf88594d88b9127358a23b369a7189,No,NoDisponible,,,,,
216,Eptesicus fuscus,101343,-108.4171216,30.0146438,,False,1,8.89,Mammalia,Chiroptera,Vespertilionidae,2028,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cdc08c2f8096efb0e01ddac3d88841c2,cdc08c2f8096efb0e01ddac3d88841c2,No,NoDisponible,,,,,
440,Eptesicus fuscus,151771,-102.1116667,26.9,,False,0,-1.23,Mammalia,Chiroptera,Vespertilionidae,764,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d0e2d135457da4d53a51ada9903ca889,d0e2d135457da4d53a51ada9903ca889,No,NoDisponible,,,,,
280,Eptesicus fuscus,118886,-106.0263888,26.7874999,,False,0,6.45,Mammalia,Chiroptera,Vespertilionidae,2226,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d143b5afd6abf160387b57c692af6c15,d143b5afd6abf160387b57c692af6c15,No,NoDisponible,,,,,
141,Eptesicus fuscus,42269,-115.9440833,32.0211944,,False,1,11.62,Mammalia,Chiroptera,Vespertilionidae,1611,Terrestre,1927,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d174fac5481f411db5cc266b5797af7e,d174fac5481f411db5cc266b5797af7e,No,NoDisponible,,,,,
