,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar
0,Thorius infernalis,165072,-100.3316667,17.255833300000003,,False,0,54.9,Amphibia,Caudata,Plethodontidae,749.0,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4100e38a269ed35236a5183b5bd8558f,4100e38a269ed35236a5183b5bd8558f
1,Thorius infernalis,165072,-100.3316667,17.255833300000003,,False,0,54.9,Amphibia,Caudata,Plethodontidae,749.0,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7db9123331e70d0570aee8c41e5ad1d8,7db9123331e70d0570aee8c41e5ad1d8
2,Thorius infernalis,165111,-100.1952777,17.4211111,,False,1,61.95,Amphibia,Caudata,Plethodontidae,1387.0,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f90b49b51b947c71e9a03925478d3ff,0f90b49b51b947c71e9a03925478d3ff
3,Thorius infernalis,165111,-100.1952777,17.4211111,,False,1,61.95,Amphibia,Caudata,Plethodontidae,1387.0,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a23ff90a17b4fbcb642dbf1f4bee0f5b,a23ff90a17b4fbcb642dbf1f4bee0f5b
