,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar
11,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ed9a20c6c53e491a7e836f51381102b,2ed9a20c6c53e491a7e836f51381102b
12,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72ec19a394976d7ccf3d7e8e43dfbff6,72ec19a394976d7ccf3d7e8e43dfbff6
13,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a97287a01116d7a5a928d48ad742042d,a97287a01116d7a5a928d48ad742042d
14,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ab5cf52f8d25c085f846420b50184693,ab5cf52f8d25c085f846420b50184693
15,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b214c271ea6ae0391d4d1d2aaa443339,b214c271ea6ae0391d4d1d2aaa443339
16,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bd15640e7a97f8eeb7643d7292df87d4,bd15640e7a97f8eeb7643d7292df87d4
17,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=de873a8743e8ac186652096440f7982d,de873a8743e8ac186652096440f7982d
18,Aquiloeurycea galeanae,166004,-100.22671899999999,24.891938,,False,5,65.99,Amphibia,Caudata,Plethodontidae,3023.0,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f96f843108d0ddff191d82bf6871fa79,f96f843108d0ddff191d82bf6871fa79
19,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7a184b5647825add74c0ada471b4fe32,7a184b5647825add74c0ada471b4fe32
20,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8e4cadf5bf82e5dcbcc2e03f64c8e21c,8e4cadf5bf82e5dcbcc2e03f64c8e21c
21,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9aeb96fee0dc9b4994db2f27791022ea,9aeb96fee0dc9b4994db2f27791022ea
22,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5beabae17cc6f5366c9cb6e2c573a52,b5beabae17cc6f5366c9cb6e2c573a52
23,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c0001f0ddc14627dd0b1313c6fdb3818,c0001f0ddc14627dd0b1313c6fdb3818
24,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d93f3a627d08503f6e40d07ffcd9797c,d93f3a627d08503f6e40d07ffcd9797c
25,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dbe35e266067c0b37179293c3742be28,dbe35e266067c0b37179293c3742be28
26,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=edba4d65afc6505efcce97f010b4b75a,edba4d65afc6505efcce97f010b4b75a
27,Aquiloeurycea galeanae,165993,-100.17944440000001,24.576666699999997,,False,3,30.66,Amphibia,Caudata,Plethodontidae,1929.0,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fc7c1231532bab4dfcf02729a1086860,fc7c1231532bab4dfcf02729a1086860
